--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Thu Dec  1 11:59:07 2022
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.0}
{'pid': 8116, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 7.66796875}
{'pid': 8144, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 12.4609375}
{'pid': 8292, 'username': 'HP\\hp-pc', 'name': 'python.exe', 'vms': 7.9765625}
{'pid': 8380, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 5.859375}
{'pid': 8424, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 13.24609375}
{'pid': 8716, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 71.96484375}
{'pid': 8852, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 6.98046875}
{'pid': 8928, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 14.72265625}
{'pid': 8960, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 30.41015625}
{'pid': 9484, 'username': None, 'name': 'APCONSVC.EXE', 'vms': 10.31640625}
{'pid': 9680, 'username': 'HP\\hp-pc', 'name': 'wuauclt.exe', 'vms': 1.5078125}
{'pid': 10056, 'username': None, 'name': 'conhost.exe', 'vms': 0.66796875}
{'pid': 10448, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 37.44921875}
{'pid': 10480, 'username': None, 'name': 'TiWorker.exe', 'vms': 7.75390625}
{'pid': 10592, 'username': None, 'name': 'TrustedInstaller.exe', 'vms': 1.32421875}
{'pid': 10740, 'username': 'HP\\hp-pc', 'name': 'taskhost.exe', 'vms': 6.09375}
{'pid': 11060, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 182.85546875}
{'pid': 11120, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 15.28125}
{'pid': 11196, 'username': 'HP\\hp-pc', 'name': 'DropboxOEM.exe', 'vms': 66.640625}
{'pid': 11452, 'username': 'HP\\hp-pc', 'name': 'NPJUNKC.EXE', 'vms': 1.55859375}
{'pid': 11476, 'username': 'HP\\hp-pc', 'name': 'cmd.exe', 'vms': 1.57421875}
{'pid': 11868, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 4.52734375}
{'pid': 11924, 'username': 'HP\\hp-pc', 'name': 'CHFOL.EXE', 'vms': 0.87109375}
{'pid': 12128, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 15.1484375}
{'pid': 12356, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 13.421875}
{'pid': 13376, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 15.38671875}
{'pid': 14088, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 24.28125}
{'pid': 14388, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 4.24609375}
{'pid': 14400, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 8.63671875}
{'pid': 14832, 'username': 'HP\\hp-pc', 'name': 'python.exe', 'vms': 5.15625}
{'pid': 15016, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 121.76953125}
{'pid': 15044, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 29.1953125}
{'pid': 15236, 'username': None, 'name': 'NPDMAL.EXE', 'vms': 14.03515625}
{'pid': 15340, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 23.96875}
{'pid': 15936, 'username': None, 'name': 'OCTACORE.EXE', 'vms': 15.89453125}
{'pid': 16060, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 66.9921875}
{'pid': 16328, 'username': None, 'name': 'NPAVIDS.EXE', 'vms': 6.28125}
{'pid': 16500, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 53.79296875}
{'pid': 16664, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 18.25}
{'pid': 16872, 'username': 'HP\\hp-pc', 'name': 'conhost.exe', 'vms': 0.9296875}
{'pid': 18480, 'username': 'HP\\hp-pc', 'name': 'NPDATABKP.EXE', 'vms': 2.7421875}
{'pid': 18520, 'username': 'HP\\hp-pc', 'name': 'crashpad_handler.exe', 'vms': 1.0546875}
{'pid': 18564, 'username': 'HP\\hp-pc', 'name': 'conhost.exe', 'vms': 1.05859375}
{'pid': 19008, 'username': None, 'name': 'dllhost.exe', 'vms': 1.84765625}
{'pid': 19076, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 29.3671875}
{'pid': 19232, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 36.7421875}
{'pid': 19300, 'username': 'HP\\hp-pc', 'name': 'AcroRd32.exe', 'vms': 35.0078125}
{'pid': 19356, 'username': 'HP\\hp-pc', 'name': 'RuntimeBroker.exe', 'vms': 4.75}
{'pid': 19444, 'username': None, 'name': 'conhost.exe', 'vms': 0.671875}
